2013-05-24 05:22:28 status half-installed libtext-charwidth-perl:amd64 0.04-7+b1
2013-05-24 05:22:28 status unpacked libtext-charwidth-perl:amd64 0.04-7+b1
2013-05-24 05:22:28 status unpacked libtext-charwidth-perl:amd64 0.04-7+b1
2013-05-24 05:22:28 install libtext-wrapi18n-perl:all <none> 0.06-7
2013-05-24 05:22:28 status half-installed libtext-wrapi18n-perl:all 0.06-7
2013-05-24 05:22:28 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-05-24 05:22:29 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-05-24 05:22:29 install debconf-i18n:all <none> 1.5.49
2013-05-24 05:22:29 status half-installed debconf-i18n:all 1.5.49
2013-05-24 05:22:29 status unpacked debconf-i18n:all 1.5.49
2013-05-24 05:22:29 status unpacked debconf-i18n:all 1.5.49
2013-05-24 05:22:29 install diffutils:amd64 <none> 1:3.2-6
2013-05-24 05:22:29 status half-installed diffutils:amd64 1:3.2-6
2013-05-24 05:22:30 status unpacked diffutils:amd64 1:3.2-6
2013-05-24 05:22:30 status unpacked diffutils:amd64 1:3.2-6
2013-05-24 05:22:30 install e2fslibs:amd64 <none> 1.42.5-1.1
2013-05-24 05:22:30 status half-installed e2fslibs:amd64 1.42.5-1.1
2013-05-24 05:22:30 status unpacked e2fslibs:amd64 1.42.5-1.1
2013-05-24 05:22:30 status unpacked e2fslibs:amd64 1.42.5-1.1
2013-05-24 05:22:31 install libblkid1:amd64 <none> 2.20.1-5.3
2013-05-24 05:22:31 status half-installed libblkid1:amd64 2.20.1-5.3
2013-05-24 05:22:31 status unpacked libblkid1:amd64 2.20.1-5.3
2013-05-24 05:22:31 status unpacked libblkid1:amd64 2.20.1-5.3
2013-05-24 05:22:32 install libcomerr2:amd64 <none> 1.42.5-1.1
2013-05-24 05:22:32 status half-installed libcomerr2:amd64 1.42.5-1.1
2013-05-24 05:22:32 status unpacked libcomerr2:amd64 1.42.5-1.1
2013-05-24 05:22:32 status unpacked libcomerr2:amd64 1.42.5-1.1
2013-05-24 05:22:33 install libss2:amd64 <none> 1.42.5-1.1
2013-05-24 05:22:33 status half-installed libss2:amd64 1.42.5-1.1
2013-05-24 05:22:33 status unpacked libss2:amd64 1.42.5-1.1
2013-05-24 05:22:33 status unpacked libss2:amd64 1.42.5-1.1
2013-05-24 05:22:33 install tzdata:all <none> 2013b-2
2013-05-24 05:22:33 status half-installed tzdata:all 2013b-2
2013-05-24 05:22:34 status unpacked tzdata:all 2013b-2
2013-05-24 05:22:34 status unpacked tzdata:all 2013b-2
2013-05-24 05:22:35 install libmount1:amd64 <none> 2.20.1-5.3
2013-05-24 05:22:35 status half-installed libmount1:amd64 2.20.1-5.3
2013-05-24 05:22:35 status unpacked libmount1:amd64 2.20.1-5.3
2013-05-24 05:22:35 status unpacked libmount1:amd64 2.20.1-5.3
2013-05-24 05:22:35 install mount:amd64 <none> 2.20.1-5.3
2013-05-24 05:22:35 status half-installed mount:amd64 2.20.1-5.3
2013-05-24 05:22:36 status unpacked mount:amd64 2.20.1-5.3
2013-05-24 05:22:36 status unpacked mount:amd64 2.20.1-5.3
2013-05-24 05:22:36 install sysvinit-utils:amd64 <none> 2.88dsf-41
2013-05-24 05:22:36 status half-installed sysvinit-utils:amd64 2.88dsf-41
2013-05-24 05:22:36 status unpacked sysvinit-utils:amd64 2.88dsf-41
2013-05-24 05:22:36 status unpacked sysvinit-utils:amd64 2.88dsf-41
2013-05-24 05:22:37 install insserv:amd64 <none> 1.14.0-5
2013-05-24 05:22:37 status half-installed insserv:amd64 1.14.0-5
2013-05-24 05:22:37 status unpacked insserv:amd64 1.14.0-5
2013-05-24 05:22:37 status unpacked insserv:amd64 1.14.0-5
2013-05-24 05:22:37 install sysv-rc:all <none> 2.88dsf-41
2013-05-24 05:22:37 status half-installed sysv-rc:all 2.88dsf-41
2013-05-24 05:22:38 status unpacked sysv-rc:all 2.88dsf-41
2013-05-24 05:22:38 status unpacked sysv-rc:all 2.88dsf-41
2013-05-24 05:22:38 install initscripts:amd64 <none> 2.88dsf-41
2013-05-24 05:22:38 status half-installed initscripts:amd64 2.88dsf-41
2013-05-24 05:22:38 status unpacked initscripts:amd64 2.88dsf-41
2013-05-24 05:22:39 status unpacked initscripts:amd64 2.88dsf-41
2013-05-24 05:22:39 install libslang2:amd64 <none> 2.2.4-15
2013-05-24 05:22:39 status half-installed libslang2:amd64 2.2.4-15
2013-05-24 05:22:39 status unpacked libslang2:amd64 2.2.4-15
2013-05-24 05:22:39 status unpacked libslang2:amd64 2.2.4-15
2013-05-24 05:22:40 install util-linux:amd64 <none> 2.20.1-5.3
2013-05-24 05:22:40 status half-installed util-linux:amd64 2.20.1-5.3
2013-05-24 05:22:40 status unpacked util-linux:amd64 2.20.1-5.3
2013-05-24 05:22:40 status unpacked util-linux:amd64 2.20.1-5.3
2013-05-24 05:22:41 install e2fsprogs:amd64 <none> 1.42.5-1.1
2013-05-24 05:22:41 status half-installed e2fsprogs:amd64 1.42.5-1.1
2013-05-24 05:22:41 status unpacked e2fsprogs:amd64 1.42.5-1.1
2013-05-24 05:22:41 status unpacked e2fsprogs:amd64 1.42.5-1.1
2013-05-24 05:22:41 install findutils:amd64 <none> 4.4.2-4
